name,id,Elevation,Estimated Prominence,latitude,longitude,Quadrangle,Range
Mount Elbert,1,14433,9093,39.1177,-106.4453,Mount Elbert,Sawatch
Mount Massive,2,14421,1961,39.1875,-106.4756,Mount Massive,Sawatch
Mount Harvard,3,14420,2360,38.9243,-106.3208,Mount Harvard,Sawatch
Blanca Peak,4,14345,5325,37.5774,-105.4857,Blanca Peak,Sangre de Cristo
La Plata Peak,5,14336,1836,39.0294,-106.4729,Mount Elbert,Sawatch
Uncompahgre Peak,6,14309,4249,38.0716,-107.4621,Uncompahgre Peak,San Juan
Crestone Peak,7,14294,4554,37.9667,-105.5853,Crestone Peak,Sangre de Cristo
Mount Lincoln,8,14286,3866,39.3515,-106.1115,Alma,Mosquito
Grays Peak,9,14270,2770,39.6337,-105.8175,Grays Peak,Front
Mount Antero,10,14269,2503,38.6741,-106.2462,Mount Antero,Sawatch
